text,label
Go until jurong point crazy Available only in bugis n great world la e buffet Cine there got amore wat,ham
Ok lar joking wif u oni,ham
Free entry in 2 a weekly competition to win FA Cup final tickets spam,spam
U dun say so early hor U c already then say,ham
Nah I dont think he goes to usf he lives around here though,ham
FreeMsg Hey there darling its been 3 weeks now and no word back Id like some fun you up for it still Tb ok,spam
Even my brother is not like to speak with me They treat me like aids patent,ham
As per your request Melle Melle has been set as your callertune for all callers Press 9 to copy,ham
WINNER As a valued network customer you have been selected to receive prize reward,spam
Had your mobile 11 months or more You are entitled to update to the latest mobile for free,spam
Im gonna be home soon and i dont want to talk about this stuff anymore tonight,ham
SIX chances to win CASH From 100 to 20000 pounds text now,spam
URGENT You have won a 1 week FREE membership in our prize jackpot,spam
I HAVE A DATE ON SUNDAY WITH WILL,ham
XXXMobileMovieClub To use your credit click the link now,spam
Oh k i am watching here,ham
Eh u remember how 2 spell his name Yes i did he v naughty,ham
Fine if thats the way u feel,ham
England v Macedonia dont miss the goals team news,spam
Is that seriously how you spell his name,ham
You have won guaranteed cash prize claim now,spam
Can you call me later,ham
Meeting at 5 pm dont be late,ham
Claim your free ringtone now,spam
You have been selected for a reward,spam
Lets go for lunch today,ham
Call me when you reach home,ham
You won lottery prize call now,spam
Important notification about your account,spam
Good morning have a nice day,ham
